country_code;iyear;region;sfi;effect;legit;seceff;secleg;poleff;polleg;ecoeff;ecoleg;soceff;socleg
BHU;1995;3;17;8;9;1;2;1;3;3;1;3;3
BHU;1996;3;15;8;7;1;0;1;3;3;1;3;3
BHU;1997;3;16;8;8;1;1;1;3;3;1;3;3
BHU;1998;3;13;7;6;0;0;1;3;3;0;3;3
BHU;1999;3;14;7;7;0;0;1;3;3;1;3;3
BHU;2000;3;14;7;7;0;0;1;3;3;1;3;3
BHU;2001;3;13;6;7;0;0;1;3;3;1;2;3
BHU;2002;3;13;6;7;0;0;1;3;3;1;2;3
BHU;2003;3;13;6;7;0;0;1;3;3;1;2;3
BHU;2004;3;12;5;7;0;0;1;3;2;1;2;3
BHU;2005;3;13;6;7;0;0;2;3;2;1;2;3
BHU;2006;3;11;5;6;0;0;1;3;2;1;2;2
BHU;2007;3;11;5;6;0;0;1;3;2;1;2;2
BHU;2008;3;10;5;5;0;0;1;2;2;1;2;2
BHU;2009;3;10;5;5;0;1;1;2;2;0;2;2
BHU;2010;3;10;5;5;0;1;1;2;2;0;2;2
BHU;2011;3;8;5;3;0;0;1;2;2;0;2;1
BHU;2012;3;8;5;3;0;0;1;2;2;0;2;1
BHU;2013;3;8;5;3;0;0;1;2;2;0;2;1
BHU;2014;3;8;5;3;0;0;1;2;2;0;2;1
BHU;2015;3;7;4;3;0;0;1;2;2;0;1;1
BHU;2016;3;7;4;3;0;0;1;2;2;0;1;1
BHU;2017;3;7;4;3;0;0;1;2;2;0;1;1
BHU;2018;3;6;3;3;0;0;0;2;2;0;1;1
BLR;1995;5;4;4;0;0;0;1;0;2;0;1;0
BLR;1996;5;4;4;0;0;0;1;0;2;0;1;0
BLR;1997;5;5;4;1;0;1;1;0;2;0;1;0
BLR;1998;5;6;5;1;0;1;2;0;2;0;1;0
BLR;1999;5;6;5;1;0;1;2;0;2;0;1;0
BLR;2000;5;6;5;1;0;1;2;0;2;0;1;0
BLR;2001;5;5;4;1;0;1;2;0;2;0;0;0
BLR;2002;5;6;5;1;0;1;2;0;2;0;1;0
BLR;2003;5;6;5;1;0;1;2;0;2;0;1;0
BLR;2004;5;6;5;1;0;1;2;0;2;0;1;0
BLR;2005;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2006;5;3;2;1;0;1;1;0;1;0;0;0
BLR;2007;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2008;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2009;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2010;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2011;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2012;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2013;5;4;3;1;0;1;2;0;1;0;0;0
BLR;2014;5;3;2;1;0;1;1;0;1;0;0;0
BLR;2015;5;3;2;1;0;1;1;0;1;0;0;0
BLR;2016;5;3;2;1;0;1;1;0;1;0;0;0
BLR;2017;5;5;3;2;0;1;2;1;1;0;0;0
BLR;2018;5;5;3;2;0;1;2;1;1;0;0;0
BNG;1995;2;20;12;8;2;2;3;3;4;0;3;3
BNG;1996;2;20;12;8;2;2;3;3;4;0;3;3
BNG;1997;2;18;11;7;2;2;2;2;4;0;3;3
BNG;1998;2;17;11;6;2;2;2;2;4;0;3;2
BNG;1999;2;17;11;6;2;2;2;2;4;0;3;2
BNG;2000;2;17;11;6;2;2;2;2;4;0;3;2
BNG;2001;2;15;9;6;1;2;1;2;4;0;3;2
BNG;2002;2;14;8;6;1;2;1;2;4;0;2;2
BNG;2003;2;14;8;6;1;2;1;2;4;0;2;2
BNG;2004;2;14;8;6;1;2;1;2;4;0;2;2
BNG;2005;2;13;7;6;0;2;1;2;4;0;2;2
BNG;2006;2;13;7;6;0;2;1;2;4;0;2;2
BNG;2007;2;14;8;6;0;2;2;2;4;0;2;2
BNG;2008;2;13;8;5;0;2;2;1;4;0;2;2
BNG;2009;2;12;7;5;0;2;2;1;3;0;2;2
BNG;2010;2;12;7;5;0;2;2;1;3;0;2;2
BNG;2011;2;12;7;5;0;2;2;1;3;0;2;2
BNG;2012;2;12;7;5;0;2;2;1;3;0;2;2
BNG;2013;2;13;7;6;0;2;2;2;3;0;2;2
BNG;2014;2;13;7;6;0;2;2;2;3;0;2;2
BNG;2015;2;12;7;5;0;2;2;2;3;0;2;1
BNG;2016;2;12;7;5;0;2;2;2;3;0;2;1
BNG;2017;2;11;6;5;0;2;2;2;3;0;1;1
BNG;2018;2;11;7;4;0;2;2;1;3;0;2;1
BOL;1995;4;13;7;6;0;1;2;1;3;2;2;2
BOL;1996;4;13;7;6;0;1;2;1;3;2;2;2
BOL;1997;4;13;7;6;0;1;2;1;3;2;2;2
BOL;1998;4;11;7;4;0;0;2;1;3;1;2;2
BOL;1999;4;11;6;5;0;1;1;1;3;1;2;2
BOL;2000;4;10;5;5;0;1;0;1;3;1;2;2
BOL;2001;4;11;5;6;0;1;0;1;3;2;2;2
BOL;2002;4;11;5;6;0;1;0;1;3;2;2;2
BOL;2003;4;12;5;7;0;1;0;2;3;2;2;2
BOL;2004;4;12;5;7;0;1;0;2;3;2;2;2
BOL;2005;4;13;6;7;0;1;1;2;3;2;2;2
BOL;2006;4;13;6;7;0;1;1;2;3;3;2;1
BOL;2007;4;12;5;7;0;1;1;2;3;3;1;1
BOL;2008;4;12;5;7;0;1;1;2;3;3;1;1
BOL;2009;4;12;5;7;0;1;1;2;3;3;1;1
BOL;2010;4;12;5;7;0;1;1;2;3;3;1;1
BOL;2011;4;11;4;7;0;1;1;2;2;3;1;1
BOL;2012;4;10;4;6;0;0;1;2;2;3;1;1
BOL;2013;4;10;4;6;0;0;1;2;2;3;1;1
BOL;2014;4;10;4;6;0;0;1;2;2;3;1;1
BOL;2015;4;10;4;6;0;0;1;2;2;3;1;1
BOL;2016;4;10;4;6;0;0;1;2;2;3;1;1
BOL;2017;4;10;4;6;0;0;1;2;2;3;1;1
BOL;2018;4;11;5;6;0;0;2;2;2;3;1;1
BOS;1995;2;14;7;7;2;3;1;2;3;2;1;0
BOS;1996;2;12;6;6;2;2;1;2;2;2;1;0
BOS;1997;2;12;6;6;2;2;1;2;2;2;1;0
BOS;1998;2;12;6;6;2;2;1;2;2;2;1;0
BOS;1999;2;12;6;6;2;2;1;2;2;2;1;0
BOS;2000;2;11;5;6;1;2;1;2;2;2;1;0
BOS;2001;2;10;5;5;1;1;1;2;2;2;1;0
BOS;2002;2;10;5;5;1;1;1;2;2;2;1;0
BOS;2003;2;10;5;5;1;1;1;2;2;2;1;0
BOS;2004;2;10;5;5;1;1;1;2;2;2;1;0
BOS;2005;2;9;4;5;1;1;1;2;2;2;0;0
BOS;2006;2;4;3;1;1;0;1;1;1;0;0;0
BOS;2007;2;5;3;2;1;0;1;2;1;0;0;0
BOS;2008;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2009;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2010;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2011;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2012;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2013;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2014;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2015;2;4;2;2;0;0;1;2;1;0;0;0
